FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5796,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Amedeka,Agence TDE Amedeka,"Agence TDE Amedeka, Amedeka, 1301BP","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2016,{Utilise},Agence TdE,{WCs},POINT (1.28732419547335 7.964301868406428)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5795,Plateaux,Wawa,Wawa 1,Badou,Badou,Agence TDE Badou,"Agence TDE Badou, Badou, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1984,{Utilise},Agence TdE,Nsp,POINT (0.6083821918114362 7.5803655509441485)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5794,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Agence TDE Kpalime,"Agence TDE Kpalime, Kpalime","{Lundi,Vendredi,jeudi,Mercredi,Mardi}",1999,{Utilise},Agence TdE,{Latrines a eau},POINT (0.6300749711357062 6.910722651237976)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5793,Plateaux,Haho,Haho 4,Wahala,Wahala,Agence TDE Badou Wahala,"Agence TDE Badou Wahala, Wahala","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.16225 7.1747250000000005)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5792,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Noumetsoukondji,Poste de Distribution TDE Noumetsou,"Poste de Distribution TDE Noumetsou, Noumetsoukondji, BP389 Kpalimé","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE - Admin,"{WCs,Douches}",POINT (0.6405153229539751 6.915618719743668)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5791,Plateaux,Amou,Amou 2,Amou-Oblo,Atokou Itse,Agence TDE Amou Oblo,"Agence TDE Amou Oblo, Atokou Itse","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,"{Latrines a eau,Douches}",POINT (0.8649433333333333 7.382396666666667)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5790,Plateaux,Anié,Anié 1,Anié,Anie,Agence TDE Anie,"Agence TDE Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,{Utilise},Agence TdE,"{Douches,WCs}",POINT (1.1903949999999999 7.767454999999999)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578f,Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence TDE Notse,"Agence TDE Notse, Tegbe, BP1309","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,{Utilise},Agence TdE,{WCs},POINT (1.17011 6.955261666666667)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578e,Plateaux,Agou,Agou 1,Agou-Tavié,Gadzefe,Agence TDE Gadzefe,"Agence TDE Gadzefe, Gadzefe, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Utilise},Agence TdE,{WCs},POINT (0.7243757449946927 6.846419120766473)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578d,Plateaux,Ogou,Ogou 1,Gnagna,N/a,Agence TDE Atakpame,"Agence TDE Atakpame, ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp ,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.1415485683198898 7.521947538205171)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578c,Plateaux,Amou,Amou 1,Amlamé (Ouma),Amlame,Agence TDE Amlame,"Agence TDE Amlame, Amlame","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1984,{Utilise},Agence TdE,{Latrines a eau},POINT (0.9058701530038282 7.464763460828804)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578b,Plateaux,Danyi,Danyi 1,Danyi-Atigba,Danyi Apeyeme,Agence TDE Danyi,"Agence TDE Danyi, Danyi Apeyeme","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,{En construction},Agence TdE,Nsp,POINT (0.6986232731236114 7.21116713857662)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578a,Savanes,Tône,Tône 1,Dapaong,Komboloaga,Agence TDE Dapaong,"Agence TDE Dapaong, Komboloaga","{Mardi,Mercredi,jeudi,Vendredi}",Nsp ,{Utilise},Agence TdE,{Latrines a eau},POINT (0.1961716666666667 10.872121666666665)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5789,Savanes,Oti,Oti 1,Mango,Djabou,Agence TDE Mango,"Agence TDE Mango, Djabou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1979,{Utilise},Agence TdE,{Latrines a eau},POINT (0.4735916666666667 10.362786666666667)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5788,Savanes,Tandjoaré,Tandjoaré 1,Bogou,Nadodani,Agence TDE Tandjouare,"Agence TDE Tandjouare, Nadodani","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,Nsp,POINT (0.1975883333333333 10.670528333333333)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5787,Savanes,Oti-Sud,Oti-Sud 1,Gando,Gando ,Agence TDE Gando,"Agence TDE Gando, Gando ","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2017,{Utilise},Agence TdE,Nsp,POINT (0.7446067648433049 10.329669348355042)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5786,Maritime,Golfe,Golfe 4,Amoutivé,Amoutive,Agence TDE Amoutive,"Agence TDE, Amoutive, BP 1301","{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",1964,N/a,Agence TdE,N/a,POINT (1.2239170962945194 6.1301788680227975)
