FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,borne_fontaine_organisme,geometry
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2cc,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1332966666666664 8.229711666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2cb,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1357016666666668 8.220431666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ca,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1329300000000002 8.219221666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c9,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1343150000000006 8.220648333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c8,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1364123102558512 8.220916627499866)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c7,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1407566666666704 8.220446666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c6,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1454700000000038 8.217941666666661)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c5,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1455016314436264 8.222413788947469)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c4,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.291943333333335 9.722383333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c3,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.2871433333333326 9.716198333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c2,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.2859650000000002 9.7213)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c1,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.2828416666666689 9.722756666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c0,Kara,Binah,Binah 1,Pagouda,TDE,POINT (1.2978766666666663 9.728393333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bf,Kara,Binah,Binah 1,Pagouda,TDE,POINT (1.3018616666666685 9.733225)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2be,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4517300000000032 8.644160000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bd,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4543983333333336 8.645765000000003)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bc,Kara,Doufelgou,Doufelgou 1,Siou,TDE,POINT (1.198533333333334 9.812343333333326)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bb,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4480049999999994 8.642653333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ba,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4465616666666664 8.64822166666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b9,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4490383333333325 8.641546666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b8,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9784217370154162 8.319062400955948)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b7,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9741449999999993 8.318096666666662)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b6,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9860066666666658 8.32894833333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b5,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9816649999999999 8.324331666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b4,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9842899999999999 8.327213333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b3,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3951216666666661 8.728799999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b2,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3951333333333329 8.728806666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b1,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3951400659117791 8.728811538877533)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b0,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3952033333333322 8.728743333333322)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2af,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Nsp,POINT (0.6300533333333331 6.908875)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ae,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9934166666666685 8.334603333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ad,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9802883333333333 8.321868333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ac,Plateaux,Kloto,Kloto 1,Agome-Kpalime,TDE,POINT (0.6285766666666659 6.910581666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ab,Centrale,Sotouboua,Sotouboua 1,Sotouboua,TDE,POINT (0.9661316666666676 8.550421666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2aa,Centrale,Sotouboua,Sotouboua 2,Aouda,TDE,POINT (1.0563366666666663 8.732708333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a9,Kara,Doufelgou,Doufelgou 1,Siou,TDE,POINT (1.1967299999999994 9.813008333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a8,Kara,Doufelgou,Doufelgou 1,Siou,TDE,POINT (1.1944249999999998 9.814171666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a7,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,TDE,POINT (0.9095633333333327 7.207546666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a6,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.5867116666666665 7.007536666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a5,Plateaux,Agou,Agou 1,Gadja,TDE,POINT (0.7703966666666666 6.8236283333333345)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a4,Kara,Doufelgou,Doufelgou 1,Niamtougou,TDE,POINT (1.1294466666666672 9.759364999999995)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a3,Kara,Doufelgou,Doufelgou 1,Niamtougou,TDE,POINT (1.1109650000000015 9.767878333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a2,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6232700000000007 7.0506216666666655)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a1,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Nsp,POINT (1.28374 7.953118333333327)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a0,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.604401666666667 7.022340000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29f,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6039250000000003 7.0224366666666596)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29e,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.612386666666667 7.027845)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29d,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6135965053810732 7.018569911952866)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29c,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6039833333333349 7.019253333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29b,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,TDE,POINT (1.2815716666666668 7.952513333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29a,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,TDE,POINT (1.2795466666666666 7.957448333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-299,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),TDE,POINT (0.7010757329292563 6.555654767783119)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-298,Centrale,Blitta,Blitta 2,Tcharè-Baou,Nsp,POINT (1.0376416666666695 7.997606666666672)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-297,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,TDE,POINT (1.2912583333333356 7.948944999999994)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-296,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3297316666666672 9.35821)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-295,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3269183333333343 9.35815333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-294,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3303966666666671 9.359505)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-293,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3311199999999992 9.358341666666677)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-292,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.331371666666667 9.359346666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-291,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.328990000000002 9.358890000000004)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-290,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.33141 9.359060000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28f,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3290600000000028 9.357921666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28e,Plateaux,Moyen-Mono,Moyen-Mono 1,Tado,Hydraulique villageoise,POINT (1.5969966666666684 7.14429333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28d,Plateaux,Amou,Amou 3,Evou,Nsp,POINT (1.037483333333333 7.515454999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28c,Plateaux,Amou,Amou 1,Adiva,TDE,POINT (1.0125249999999986 7.525809999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28b,Plateaux,Amou,Amou 1,Adiva,TDE,POINT (1.0175850000000004 7.519888333333336)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28a,Plateaux,Amou,Amou 1,Adiva,TDE,POINT (1.0203300000000028 7.5122866666666654)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-289,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5101166666666672 6.289964999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-288,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5109433333333324 6.288523333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-287,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5124149999999992 6.290010000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-286,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5120466666666668 6.288371666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-285,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5122983333333346 6.291354999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-284,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5078916666666655 6.291334999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-283,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5098500000000004 6.285348333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-282,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5052416666666666 6.290961666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-281,Maritime,Vo,Vo 1,Vogan,TDE,POINT (1.5031116666666666 6.289913333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-280,Kara,Assoli,Assoli 2,Koumondè,TDE,POINT (1.2374266666666665 9.314035)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-27f,Kara,Assoli,Assoli 2,Koumondè,TDE,POINT (1.237665000000002 9.313438333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-27e,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.0472149999999998 9.956951666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-27d,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.0464833333333328 9.955124999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-27c,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.0463833333333357 9.955873333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-27b,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.047058333333337 9.95806999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-27a,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.047178333333333 9.959676666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-279,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.04618 9.958313333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-278,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.0449566666666694 9.956396666666656)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-277,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.0495516666666664 9.958288333333337)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-276,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.047671666666667 9.94921166666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-275,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.0451133333333358 9.94959833333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-274,Kara,Kéran,Kéran 1,Kantè,TDE,POINT (1.036879999999999 9.963466666666662)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-273,Maritime,Vo,Vo 3,Dagbati,TDE,POINT (1.4951033333333332 6.4277983333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-272,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.75234 7.184146666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-271,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7520616666666667 7.184816666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-270,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7656749999999967 7.193976666666672)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-26f,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7649683333333337 7.194483333333326)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-26e,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7538933333333339 7.186876666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-26d,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.752946262983214 7.187241291086007)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-26c,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7553783266004478 7.18800838971323)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-26b,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7565050000000039 7.188921666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-26a,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,autre,POINT (0.7369216666666679 7.158421666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-269,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.7497550000000001 7.18258)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-268,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,autre,POINT (0.74960166666667 7.182966666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-267,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,TDE,POINT (0.7398849999999982 7.158281666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-266,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,TDE,POINT (0.7394416666666686 7.157546666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-265,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,TDE,POINT (0.7379483333333334 7.159383333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-264,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,TDE,POINT (0.7375599999999998 7.157801666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-263,Plateaux,Kpélé,Kpélé 2,Kpélé-Centre,autre,POINT (0.7496066666666668 7.178901666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-262,Plateaux,Kpélé,Kpélé 2,Kpélé-Centre,TDE,POINT (0.7470550000000021 7.172468333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-261,Maritime,Zio,Zio 1,Gblainvié,TDE,POINT (1.1897516666666663 6.44715)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-260,Maritime,Zio,Zio 1,Gblainvié,TDE,POINT (1.1908400000000028 6.443664999999997)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-25f,Maritime,Zio,Zio 1,Gblainvié,TDE,POINT (1.1894449999999992 6.441439999999996)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-25e,Maritime,Zio,Zio 1,Gblainvié,TDE,POINT (1.1900266666666692 6.444576666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-25d,Maritime,Zio,Zio 1,Gblainvié,TDE,POINT (1.1893366666666698 6.449445)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-25c,Maritime,Vo,Vo 1,Vo-Koutimé,TDE,POINT (1.5748483333333334 6.3309033333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-25b,Maritime,Vo,Vo 1,Vo-Koutimé,TDE,POINT (1.574773333333333 6.332606666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-25a,Kara,Assoli,Assoli 2,Alédjo,TDE,POINT (1.2035416666666672 9.25115)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-259,Kara,Assoli,Assoli 2,Alédjo,TDE,POINT (1.204006666666667 9.252051666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-258,Kara,Assoli,Assoli 2,Alédjo,TDE,POINT (1.2086916666666667 9.255663333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-257,Plateaux,Kloto,Kloto 1,Kpadapé,autre,POINT (0.5926857382238562 6.842533756285104)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-256,Maritime,Avé,Avé 2,Badja,TDE,POINT (0.9886866666666654 6.377558265398843)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-255,Maritime,Avé,Avé 2,Badja,TDE,POINT (0.9841283333333323 6.373874999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-254,Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,autre,POINT (0.7991049999999983 7.279939999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-253,Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,Nsp,POINT (0.8038583333333311 7.277505000000003)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-252,Kara,Doufelgou,Doufelgou 1,Ténéga,TDE,POINT (1.136011666666666 9.810108333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-251,Kara,Doufelgou,Doufelgou 1,Ténéga,TDE,POINT (1.1352700000000027 9.81791000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-250,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,TDE,POINT (0.4237616666666667 10.995321666666657)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-24f,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,TDE,POINT (0.4285249999999977 10.994816666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-24e,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,TDE,POINT (0.4295866666666672 11.007668333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-24d,Savanes,Tône,Tône 4,Korbongou,TDE,POINT (0.4173866666666674 11.011909999999995)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-24c,Plateaux,Kloto,Kloto 1,Kpadapé,TDE,POINT (0.5795099999999976 6.817116666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-24b,Maritime,Zio,Zio 2,Mission-Tové,TDE,POINT (1.1228749999999996 6.323431666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-24a,Maritime,Zio,Zio 2,Mission-Tové,TDE,POINT (1.125463333333332 6.320601666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-249,Maritime,Zio,Zio 2,Mission-Tové,TDE,POINT (1.120291666666667 6.324831666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-248,Maritime,Zio,Zio 2,Mission-Tové,TDE,POINT (1.1181283333333334 6.325685)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-247,Maritime,Zio,Zio 2,Mission-Tové,TDE,POINT (1.1216933333333323 6.321976666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-246,Centrale,Tchaoudjo,Tchaoudjo 3,Kolina,TDE,POINT (1.1348516666666693 9.071788333333322)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-245,Centrale,Tchaoudjo,Tchaoudjo 3,Kolina,TDE,POINT (1.1342700000000001 9.071703333333339)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-244,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,TDE,POINT (1.1350633333333329 9.043964999999993)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-243,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,TDE,POINT (1.1418633333333317 9.022205000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-242,Centrale,Mô,Mô 1,Djarkpanga,TDE,POINT (0.563283333333335 8.78324833333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-241,Centrale,Mô,Mô 1,Djarkpanga,TDE,POINT (0.562653333333334 8.77884)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-240,Centrale,Mô,Mô 1,Djarkpanga,TDE,POINT (0.5661283333333318 8.787751666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-23f,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.212516666666667 6.174818333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-23e,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.212508333333333 6.17483333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-23d,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2123860308485153 6.17487491242547)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-23c,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2101966666666668 6.174571666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-23b,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2100466666666665 6.176238333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-23a,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2100278821057058 6.176720933623618)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-239,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,POINT (1.2121735000000005 6.175504199999994)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-238,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2097550000000001 6.174425)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-237,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.209893333333336 6.174153333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-236,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2111116666666668 6.174171666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-235,Kara,Binah,Binah 1,Pagouda,TDE,POINT (1.3248050000000013 9.748685000000002)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-234,Maritime,Golfe,Golfe 3,Bè-Ouest,TDE,POINT (1.2107933333333334 6.173478333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-233,Plateaux,Kpélé,Kpélé 1,Kpélé-Akata,TDE,POINT (0.7133566666666662 7.053311666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-232,Plateaux,Kpélé,Kpélé 1,Kpélé-Akata,TDE,POINT (0.7119733333333342 7.054866666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-231,Plateaux,Kpélé,Kpélé 1,Kpélé-Akata,TDE,POINT (0.7125133333333329 7.05068)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-230,Plateaux,Kpélé,Kpélé 1,Kpélé-Akata,TDE,POINT (0.7142350000000004 7.052536666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-22f,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,TDE,POINT (0.7321033333333333 7.136395)
