FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,borne_fontaine_organisme,geometry
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_fff,Kara,Dankpen,Dankpen 1,Guérin-Kouka,TDE,POINT (0.6106166666666666 9.672808333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1000,Kara,Dankpen,Dankpen 1,Guérin-Kouka,TDE,POINT (0.6087416666666667 9.696956666666662)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1001,Kara,Dankpen,Dankpen 1,Guérin-Kouka,TDE,POINT (0.6067933333333363 9.687621666666656)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1002,Kara,Dankpen,Dankpen 1,Guérin-Kouka,TDE,POINT (0.6019016666666672 9.690158333333324)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1003,Savanes,Oti-Sud,Oti-Sud 1,Gando,TDE,POINT (0.7458299999999997 10.333549999999997)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1004,Savanes,Oti-Sud,Oti-Sud 1,Gando,TDE,POINT (0.747448333333334 10.332848333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1005,Savanes,Oti-Sud,Oti-Sud 1,Gando,TDE,POINT (0.7512333333333326 10.325258333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1006,Savanes,Oti-Sud,Oti-Sud 1,Gando,TDE,POINT (0.7563316666666675 10.32036833333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1007,Savanes,Oti-Sud,Oti-Sud 1,Gando,TDE,POINT (0.7433083333333365 10.32775333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1008,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,TDE,POINT (1.2264966666666666 6.242710000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1009,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3732900000000006 6.62307166666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_100a,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3739383333333333 6.622348333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_100b,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3712416666666678 6.623623333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_100c,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3714933333333335 6.622933333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_100d,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3737283333333337 6.623901666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_100e,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3749683333333336 6.623105000000002)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_100f,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3781479570397295 6.623902523420683)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1010,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3777083333333333 6.625093333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1011,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.376299829340896 6.623882938701347)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1012,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3785966666666674 6.6126416666666685)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1013,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3757416666666664 6.621184999999997)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1014,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3765516666666673 6.618720000000002)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1015,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3766065452616985 6.621945937856376)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1016,Maritime,Yoto,Yoto 2,Zafi,TDE,POINT (1.3773916666666668 6.6269416666666645)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1017,Maritime,Yoto,Yoto 1,Amoussimé,TDE,POINT (1.513553144544385 6.623204342539659)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1018,Maritime,Yoto,Yoto 1,Amoussimé,TDE,POINT (1.5138250000000002 6.62874)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1019,Maritime,Yoto,Yoto 1,Amoussimé,TDE,POINT (1.5118477464608833 6.618029665234851)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_101a,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.517133333333333 6.613641666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_101b,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5097492450859227 6.613216301756459)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_101c,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.367178333333333 6.484168333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_101d,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.3686533333333353 6.483156666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_101e,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.367933333333334 6.485793333333337)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_101f,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.3692816666666665 6.482173333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1020,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.3721483333333324 6.475218333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1021,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.3782166666666673 6.469595)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1022,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.371811666666667 6.484890000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1023,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.3702650000000003 6.484115000000002)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1024,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.372495000000002 6.483188333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1025,Maritime,Yoto,Yoto 2,Tchékpo,TDE,POINT (1.370466666666666 6.483125000000005)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1026,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5005004933784674 6.589682907125295)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1027,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5041283333333335 6.586200000000002)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1028,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5043616666666664 6.588765)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1029,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5048449999999998 6.5871749999999984)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_102a,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5093816666666668 6.595956666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_102b,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5033083745907452 6.594878008247575)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_102c,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.499483333333333 6.591130000000006)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_102d,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5009794036343487 6.59507829453158)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_102e,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5014050000000008 6.595618333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_102f,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.500578333333333 6.593563293654486)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1030,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.4992466666666666 6.593453333333333)
