FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,utilisation_cout,toilette_type,geometry
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-753,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,{Pissotieres},POINT (1.2341498869628993 6.128531744726099)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-752,Maritime,Golfe,Golfe 4,Amoutivé,Assivito,Payant,{WCs},POINT (1.2218744171420535 6.126147474186972)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-751,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoé,Payant,{Latrines seches},POINT (1.201212364406867 6.128544818744961)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-750,Maritime,Golfe,Golfe 4,Amoutivé,Plage,Payant,"{Latrines a eau,Pissotieres}",POINT (1.2300354766533736 6.124471093451807)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-74f,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,{Pissotieres},POINT (1.2317780987096316 6.1259412694452635)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-74e,Maritime,Golfe,Golfe 4,Amoutivé,Plage,Payant,{Pissotieres},POINT (1.2204450871958665 6.12072274929037)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-74d,Maritime,Golfe,Golfe 4,Amoutivé,Terrainvito,Payant,"{Douches,WCs}",POINT (1.2347302947519878 6.130230469886666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-74c,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{WCs,Douches}",POINT (1.2286172451227204 6.128339730009813)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-74b,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Douches,WCs}",POINT (1.2254563735941901 6.126272040581699)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-74a,Maritime,Golfe,Golfe 4,Amoutivé,Église Cathédrale D'assigamé,Payant,"{WCs,Douches}",POINT (1.2260642081044346 6.125045333321731)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-749,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoè,Payant,{WCs},POINT (1.1996589906555073 6.12247410647778)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-748,Maritime,Golfe,Golfe 4,Amoutivé,Agbadahonou,Payant,"{WCs,Douches}",POINT (1.2218316666666666 6.1257883333333325)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-747,Maritime,Golfe,Golfe 4,Amoutivé,Novissi Cap,Payant,{WCs},POINT (1.200619632358991 6.148481656242382)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-746,Maritime,Golfe,Golfe 4,Amoutivé,Supermarché Champion,Payant,{WCs},POINT (1.2340594257920336 6.127760288964084)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-745,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoè Kekeli Parc,Payant,{WCs},POINT (1.2083736632543407 6.133013031982363)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-744,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{WCs,Douches}",POINT (1.2302901726357742 6.126983856401602)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-743,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin Sebevito,Payant,{WCs},POINT (1.215218560638171 6.1429862662705155)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-742,Maritime,Golfe,Golfe 4,Amoutivé,Abobokomé,Payant,{WCs},POINT (1.2289833245604187 6.132531412216914)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-741,Maritime,Golfe,Golfe 4,Amoutivé,Dekon,Payant,"{WCs,Douches}",POINT (1.2299316666666666 6.135191666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-740,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin Station Marché,Payant,{WCs},POINT (1.205141245513374 6.140453130564108)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-73f,Maritime,Golfe,Golfe 4,Amoutivé,Atikpodji,Payant,"{WCs,Douches}",POINT (1.2313919061407157 6.129270956650237)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-73e,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Douches,Latrines a eau}",POINT (1.2266992394563705 6.12745157401056)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-73d,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Latrines a eau,Douches}",POINT (1.2244134238715398 6.125335655036746)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-73c,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Latrines a eau,Douches}",POINT (1.2277629070304685 6.12531221094066)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-73b,Maritime,Golfe,Golfe 4,Amoutivé,Kodjoviakopé,Payant,{Latrines a eau},POINT (1.2012009935336576 6.1135590934319275)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-73a,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Latrines a eau,Douches}",POINT (1.2252493516826126 6.125994555442431)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-739,Maritime,Golfe,Golfe 4,Amoutivé,Amoutieve,Payant,{Latrines seches},POINT (1.2306991679536876 6.142788802810248)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-738,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,{Latrines seches},POINT (1.2292978899582143 6.128974357954472)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-737,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Douches,Latrines a eau}",POINT (1.2305664260686644 6.126419835315628)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-736,Maritime,Golfe,Golfe 4,Amoutivé,Amoutieve,Payant,{Latrines seches},POINT (1.2298898101764022 6.141489908346632)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-735,Maritime,Golfe,Golfe 4,Amoutivé,Dekon,Payant,"{WCs,Douches,autre}",POINT (1.2274481799517192 6.1360217367676055)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-734,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{Douches,WCs}",POINT (1.2308124953450554 6.125737207447359)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-733,Maritime,Golfe,Golfe 4,Amoutivé,Plage,Payant,"{Latrines seches,WCs}",POINT (1.2192620804340673 6.120524278117546)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-732,Maritime,Golfe,Golfe 4,Amoutivé,Grand Marché,Payant,"{WCs,Douches,Latrines seches}",POINT (1.2300708285497586 6.126289903721703)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-731,Maritime,Golfe,Golfe 4,Amoutivé,Olando,Payant,{Latrines a eau},POINT (1.2289828787358144 6.125273954678494)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-730,Maritime,Golfe,Golfe 4,Amoutivé,Agbadahonou,Payant,"{Douches,WCs}",POINT (1.2221133333333334 6.125001666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-72f,Maritime,Golfe,Golfe 4,Amoutivé,Gbadago,Payant,"{WCs,Latrines seches}",POINT (1.214582507048753 6.145733482618106)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-72e,Maritime,Golfe,Golfe 4,Amoutivé,Above,Nsp,"{WCs,Pissotieres,Douches}",POINT (1.204915 6.163805)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-72d,Maritime,Golfe,Golfe 4,Amoutivé,Amoutieve,Payant,{Latrines seches},POINT (1.2285264391927375 6.140623164553859)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-72c,Maritime,Golfe,Golfe 4,Amoutivé,Casablanca,Payant,{Latrines a eau},POINT (1.2005713058086624 6.1485217315272935)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-72b,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avedji- Wessome,Payant,{Latrines a eau},POINT (1.1720516666666665 6.2005550000000005)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-72a,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Payant,{Latrines a eau},POINT (1.1874871023301303 6.194125754617279)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-729,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Payant,{Latrines a eau},POINT (1.187866716164434 6.1949950474092015)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-728,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Payant,{Latrines a eau},POINT (1.1876025748778676 6.1941641774015235)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-727,Maritime,Golfe,Golfe 5,Aflao-Gakli,Madiba,Payant,{Latrines a eau},POINT (1.1507474806586189 6.199607407200284)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-726,Maritime,Golfe,Golfe 5,Aflao-Gakli,Gbotosime,Payant,{Latrines a eau},POINT (1.1812425654168281 6.186994770010015)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-725,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Payant,{Latrines a eau},POINT (1.2012228119634702 6.17684189973655)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-724,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedo,Payant,{Latrines a eau},POINT (1.2027945204931794 6.194354464472154)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-723,Maritime,Golfe,Golfe 6,Baguida,BAGUIDA GAGLO KPOTA,Nsp,{Latrines a eau},POINT (1.3243316666666667 6.173121666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-722,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3557566666666667 6.170996666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-721,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Gratuit,{Latrines a eau},POINT (1.3476519237032623 6.167002429756229)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-720,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage Camp Des Refugies,Gratuit,{Latrines a eau},POINT (1.3529532494754786 6.168710360624914)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-71f,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3557461185795803 6.170968209914718)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-71e,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,"{Latrines a eau,Douches}",POINT (1.3565399779785978 6.170731045244704)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-71d,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Gratuit,"{WCs,Douches}",POINT (1.3564376838379217 6.171160037577651)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-71c,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3558266666666665 6.170743333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-71b,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3557322267563403 6.1710684272359755)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-71a,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3557858223148782 6.17086733176366)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-719,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3557526574567915 6.171170668975439)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-718,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Douches},POINT (1.3565439828287444 6.170871668513599)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-717,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,"{Latrines a eau,Douches}",POINT (1.3564953027263036 6.1709436097662955)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-716,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3558733333333333 6.170566666666668)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-715,Maritime,Golfe,Golfe 6,Baguida,Baguida Gaglokpota Depotoir,Payant,{Latrines a eau},POINT (1.3243833333333332 6.173153333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-714,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage,Gratuit,{Latrines a eau},POINT (1.3551583333333332 6.169326666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-713,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Payant,{Latrines a eau},POINT (1.3261956992924178 6.167432794332414)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-712,Maritime,Golfe,Golfe 6,Baguida,BAGUIDA GAGLO KPOTA,Gratuit,{Latrines seches},POINT (1.3241816666666668 6.1730833333333335)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-711,Maritime,Golfe,Golfe 6,Baguida,Port De Peche,Payant,{WCs},POINT (1.3109533333333334 6.154793333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-710,Maritime,Golfe,Golfe 6,Baguida,Zone Portuaire,Gratuit,{WCs},POINT (1.3113651796084058 6.154353743717873)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-70f,Maritime,Golfe,Golfe 6,Baguida,Port De Pêche,Payant,{WCs},POINT (1.3106113183228159 6.154324237499688)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-70e,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Gratuit,{Latrines a eau},POINT (1.355525 6.169970000000001)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-70d,Maritime,Golfe,Golfe 6,Baguida,Avepozo Camp Des Réfugiés,Gratuit,{Latrines a eau},POINT (1.354665 6.170525)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-70c,Maritime,Golfe,Golfe 6,Baguida,Baguida,Payant,{Latrines a eau},POINT (1.3235367420182018 6.1713048531365615)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-70b,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Nsp,{Latrines a eau},POINT (1.3436183333333331 6.171351666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-70a,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage Camp Des Refugies,Gratuit,{Latrines a eau},POINT (1.3546717149153258 6.170288754496279)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-709,Maritime,Golfe,Golfe 6,Baguida,Avepozo Plage Camp Des Refugies,Gratuit,{Latrines a eau},POINT (1.3545782405153641 6.170713700269825)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-708,Maritime,Golfe,Golfe 6,Baguida,Zone Portuaire,Gratuit,"{WCs,Pissotieres}",POINT (1.3114633333333332 6.15437)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-707,Maritime,Golfe,Golfe 6,Baguida,Baguida Centre,Payant,{Latrines a eau},POINT (1.3234683333333335 6.169473333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-706,Maritime,Golfe,Golfe 6,Baguida,Kagome,Payant,{Latrines a eau},POINT (1.2997953074742916 6.17694044680626)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-705,Maritime,Golfe,Golfe 6,Baguida,GBETSOGBE KOPE,Payant,{Latrines a eau},POINT (1.3058041435589949 6.153896414844965)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-704,Maritime,Golfe,Golfe 6,Baguida,Gbetsogbe Kope,Payant,{Latrines a eau},POINT (1.3058187967834474 6.15389885700531)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-703,Maritime,Golfe,Golfe 6,Baguida,Zlito,Payant,{WCs},POINT (1.307495 6.176715)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-702,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Lankouvi,Nsp,{Latrines a eau},POINT (1.1287583333333333 6.1770033333333325)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-701,Maritime,Vo,Vo 1,Vogan,Pedakondji,Gratuit,{WCs},POINT (1.5333884534396778 6.315908219187631)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-700,Maritime,Vo,Vo 1,Vogan,Pedakondji,Payant,{WCs},POINT (1.535485 6.315483333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6ff,Maritime,Vo,Vo 1,Vo-Koutimé,Kponou,Gratuit,{Latrines seches},POINT (1.5664266666666666 6.379746666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6fe,Maritime,Vo,Vo 2,Togoville,Togoville,Gratuit,{Latrines seches},POINT (1.4820233333333335 6.245171666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6fd,Maritime,Yoto,Yoto 2,Ahépé,Kpowla,Nsp,{Latrines seches},POINT (1.3887 6.599268333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6fc,Maritime,Vo,Vo 2,Togoville,Togoville,Gratuit,{Latrines seches},POINT (1.474678624680223 6.233751162554864)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6fb,Maritime,Vo,Vo 2,Anyron-Kopé,Anyronkope,Gratuit,{WCs},POINT (1.5539516666666666 6.2709583333333345)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6fa,Maritime,Vo,Vo 2,Anyron-Kopé,Anyronkope,Gratuit,{WCs},POINT (1.5560899999999998 6.270571666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f9,Maritime,Lacs,Lacs 1,Aného,Togbecondji,Nsp,{Latrines seches},POINT (1.5990233333333332 6.227566666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f8,Maritime,Lacs,Lacs 1,Aného,Djamadji,Nsp,{WCs},POINT (1.5900600000000003 6.225688333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f7,Maritime,Lacs,Lacs 1,Aného,Degbenou,Gratuit,{Latrines seches},POINT (1.5886649999999998 6.230956666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f6,Maritime,Lacs,Lacs 1,Aného,Togbecondji,Gratuit,{WCs},POINT (1.574707769712343 6.222818619928871)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f5,Maritime,Lacs,Lacs 1,Aného,Djamadji,Payant,"{WCs,autre}",POINT (1.5924266666666669 6.225931666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f4,Maritime,Lacs,Lacs 1,Aného,Kpota,Gratuit,{Latrines seches},POINT (1.5908445890119558 6.230385328122939)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f3,Maritime,Lacs,Lacs 1,Glidji,Glidji,Gratuit,{WCs},POINT (1.6018333333333334 6.248178333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f2,Maritime,Lacs,Lacs 1,Canton D’Aneho,Yessouvito,Payant,"{WCs,Douches}",POINT (1.6108729806191644 6.238580285866939)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f1,Maritime,Lacs,Lacs 1,Canton D’Aneho,Adjido,Gratuit,{Latrines seches},POINT (1.6040656552304475 6.23192666543202)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6f0,Maritime,Lacs,Lacs 1,Canton D’Aneho,Sanvee Condji,Payant,{Latrines seches},POINT (1.6263026375957779 6.239581557331668)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6ef,Maritime,Lacs,Lacs 2,Aklakou,Agbanakin,Nsp,{Latrines seches},POINT (1.8019111183178769 6.290007651720229)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6ee,Maritime,Lacs,Lacs 2,Aklakou,Agbanakin,Nsp,{Latrines seches},POINT (1.8016278918823898 6.290661474659525)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6ed,Maritime,Vo,Vo 3,Dagbati,Todome,Gratuit,{WCs},POINT (1.497153442210775 6.499151320057526)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6ec,Maritime,Vo,Vo 3,Dagbati,Todome,Payant,{Latrines seches},POINT (1.4975206653690978 6.501409002394002)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6eb,Maritime,Vo,Vo 3,Dagbati,Agnihenou,Gratuit,{WCs},POINT (1.4885333333333335 6.4365749999999995)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6ea,Maritime,Yoto,Yoto 2,Ahépé,Kpowla,Nsp,{Latrines seches},POINT (1.3872583333333335 6.5951233333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e9,Maritime,Yoto,Yoto 2,Ahépé,Seva,Nsp,{Latrines seches},POINT (1.4003483333333333 6.602153333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e8,Maritime,Yoto,Yoto 2,Ahépé,Atcharome,Nsp,{Latrines seches},POINT (1.4079333333333333 6.603814999999999)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e7,Maritime,Yoto,Yoto 2,Ahépé,Gnasseti,Payant,{Latrines seches},POINT (1.3965716666666668 6.609176666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e6,Maritime,Yoto,Yoto 2,Ahépé,Kpowla,Nsp,{Latrines seches},POINT (1.38906 6.594075)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e5,Maritime,Yoto,Yoto 2,Ahépé,Seva,Payant,{Latrines seches},POINT (1.3971283333333333 6.60578)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e4,Maritime,Yoto,Yoto 2,Ahépé,Seva,Payant,{Latrines seches},POINT (1.3971850000000001 6.605791666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e3,Maritime,Yoto,Yoto 2,Ahépé,Kpokli,Gratuit,{Latrines seches},POINT (1.3796983333333332 6.608603333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e2,Maritime,Yoto,Yoto 2,Ahépé,Agbleta,Nsp,{Latrines seches},POINT (1.4094766922151842 6.604474604908183)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e1,Maritime,Lacs,Lacs 2,Agouégan,Agouegan,Nsp,{Latrines seches},POINT (1.6825541257520125 6.257837287886289)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6e0,Maritime,Lacs,Lacs 2,Agouégan,Djeta,Nsp,{Latrines seches},POINT (1.7353674682043632 6.2703637304858475)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6df,Maritime,Lacs,Lacs 2,Agouégan,Agouegan,Payant,{Latrines seches},POINT (1.6808240111763066 6.257590469291855)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6de,Maritime,Lacs,Lacs 2,Agouégan,Seko,Payant,{Latrines seches},POINT (1.7113983333333334 6.263756666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6dd,Maritime,Lacs,Lacs 2,Agouégan,Agouegan,Payant,{Latrines seches},POINT (1.6808934682966339 6.257565367170666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6dc,Maritime,Lacs,Lacs 2,Agouégan,Agouegan,Payant,{Latrines seches},POINT (1.6823815951998606 6.257833149236276)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6db,Maritime,Yoto,Yoto 1,Tabligbo,Gah Kondji,Nsp,{WCs},POINT (1.5001704758898515 6.587224287453974)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6da,Maritime,Lacs,Lacs 3,Agbodrafo,Abatekope,Payant,{Latrines seches},POINT (1.5290851997656592 6.230840913373286)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d9,Maritime,Lacs,Lacs 3,Agbodrafo,Assou Condji,Payant,{WCs},POINT (1.5550419923967504 6.2197378961730925)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d8,Maritime,Lacs,Lacs 3,Agbodrafo,Kpeme,Gratuit,{Latrines seches},POINT (1.5027283333333334 6.216073333333332)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d7,Maritime,Lacs,Lacs 3,Agbodrafo,Assou Condji,Payant,{WCs},POINT (1.5582665516438046 6.2204367204507545)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d6,Maritime,Lacs,Lacs 3,Agbodrafo,Goumoukope,Payant,{Latrines a eau},POINT (1.5333706819995891 6.213141292144906)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d5,Maritime,Lacs,Lacs 3,Agbodrafo,Goumoukope,Nsp,{Latrines seches},POINT (1.529896988677388 6.212346720805775)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d4,Maritime,Lacs,Lacs 3,Agbodrafo,Abatekope,Nsp,{Latrines seches},POINT (1.5278916666666666 6.230418333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d3,Maritime,Lacs,Lacs 3,Agbodrafo,Vodougbe,Payant,{WCs},POINT (1.565102065478564 6.227367509753396)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d2,Maritime,Lacs,Lacs 3,Agbodrafo,Kpeme,Nsp,{Latrines seches},POINT (1.5048440788142432 6.213071303486647)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d1,Maritime,Lacs,Lacs 3,Agbodrafo,Kpeme,Nsp,{Latrines seches},POINT (1.5048512155075955 6.213144091725305)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-6d0,Maritime,Lacs,Lacs 3,Agbodrafo,Kpessi,Nsp,{Latrines seches},POINT (1.449972099893703 6.217875287020756)
