FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,utilisation_cout,toilette_type,geometry
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-838,Savanes,Tône,Tône 1,Dapaong,KPEGUI,Nsp,{Latrines seches},POINT (0.202228454833364 10.865758246661125)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-837,Maritime,Avé,Avé 1,Assahoun,Assiyeye,Payant,"{WCs,Latrines seches}",POINT (0.9089560675114371 6.446496853150497)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-836,Maritime,Avé,Avé 1,Assahoun,Dome-salakome,Payant,{WCs},POINT (0.9150728413675017 6.451411907445312)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-835,Maritime,Avé,Avé 1,Assahoun,Kpetou,Payant,{Latrines a eau},POINT (0.9149299338668977 6.448783411097307)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-834,Maritime,Avé,Avé 1,Assahoun,Assahoun Apedome,Payant,{Latrines seches},POINT (0.9077000000000001 6.453508333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-833,Maritime,Avé,Avé 1,Assahoun,Assahoun Apedome,Gratuit,{Latrines seches},POINT (0.90875 6.454598333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-832,Maritime,Avé,Avé 1,Tovégan,Tomefan,Gratuit,{Latrines seches},POINT (0.84247 6.572333333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-831,Maritime,Avé,Avé 1,Tovégan,Wontinou,Gratuit,{Latrines seches},POINT (0.8730720012876569 6.558999400872409)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-830,Maritime,Avé,Avé 1,Tovégan,Agbessia,Gratuit,{Latrines seches},POINT (0.9207716666666667 6.570243333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-82f,Maritime,Avé,Avé 1,Tovégan,Nyamassiva,Gratuit,{Latrines seches},POINT (0.8518533333333332 6.581885)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-82e,Maritime,Avé,Avé 1,Tovégan,Atti Atonou,Gratuit,{Latrines seches},POINT (0.8655766666666668 6.552158333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-82d,Maritime,Avé,Avé 1,Tovégan,Tovegan,Gratuit,{Latrines seches},POINT (0.8981083333333333 6.569246666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-82c,Maritime,Avé,Avé 1,Tovégan,Elio,Gratuit,{Latrines seches},POINT (0.875235 6.582324999999999)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-82b,Maritime,Avé,Avé 1,Ando,Agotime-batoume,Gratuit,{Latrines seches},POINT (0.75209 6.475315)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-82a,Maritime,Avé,Avé 1,Ando,Agotime-batoume,Nsp,{autre},POINT (0.7540600000000001 6.475931666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-829,Maritime,Avé,Avé 1,Ando,Gboloba,Nsp,{Latrines seches},POINT (0.8442799999999999 6.446156666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-828,Maritime,Avé,Avé 1,Zolo,Tsieviepé,Gratuit,{Latrines seches},POINT (0.9152133333333333 6.406856666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-827,Maritime,Avé,Avé 1,Zolo,Dzolo,Nsp,{Latrines seches},POINT (0.8925774349345317 6.378767155253651)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-826,Maritime,Avé,Avé 1,Zolo,Dzolo,Nsp,{Latrines seches},POINT (0.8883 6.3753150000000005)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-825,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Gawoutome,Gratuit,{Latrines seches},POINT (1.6514499999999999 6.532958333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-824,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Sedoh-kondji,Gratuit,{Latrines a eau},POINT (1.6340916666666667 6.4230633333333325)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-823,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Amegbo Kondji,Gratuit,{Latrines seches},POINT (1.58579 6.43993)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-822,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Adeho Sedo-kondji,Gratuit,{Latrines a eau},POINT (1.6337257665213964 6.423117300838605)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-821,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Zongo,Payant,{Latrines seches},POINT (0.6475466358894542 6.902025638153658)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-820,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Ayolonkodji,Payant,{Latrines seches},POINT (0.63303 6.902915)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-81f,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Zomayi,Nsp,{Latrines seches},POINT (0.629495 6.903046666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-81e,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Tsihinu,Payant,{Latrines seches},POINT (0.6433192277595625 6.904863958891831)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-81d,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Zongo,Payant,{Latrines seches},POINT (0.6375288193321992 6.904550192214071)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-81c,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Numetukodzi,Payant,{Latrines seches},POINT (0.6413657264331896 6.917161116150292)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-81b,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Lomnava,Payant,"{Douches,Latrines seches}",POINT (0.6385795496555385 6.918130662911008)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-81a,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Fiakome,Payant,{Latrines seches},POINT (0.6319199999999999 6.907066666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-819,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Nyveme,Payant,{Latrines seches},POINT (0.6326683333333333 6.9154616666666655)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-818,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Numetukpodzi,Payant,{Latrines seches},POINT (0.6371179377915599 6.9081236763219325)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-817,Maritime,Avé,Avé 2,Noépé,Noepe,Gratuit,{WCs},POINT (1.03728 6.255471666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-816,Maritime,Avé,Avé 2,Aképé,Akepe,Nsp,{WCs},POINT (1.0535933333333332 6.241735)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-815,Maritime,Avé,Avé 2,Aképé,Akepe,Gratuit,{WCs},POINT (1.05907 6.236233333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-814,Maritime,Avé,Avé 2,Aképé,Akepe,Gratuit,{WCs},POINT (1.0556633333333332 6.236513333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-813,Maritime,Avé,Avé 2,Aképé,Akepe,Gratuit,{WCs},POINT (1.06369 6.236338333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-812,Maritime,Avé,Avé 2,Aképé,Akepe,Gratuit,{WCs},POINT (1.0509433333333333 6.245715)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-811,Maritime,Avé,Avé 2,Aképé,Akepe,Payant,{Latrines seches},POINT (1.0563916666666666 6.24218)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-810,Maritime,Avé,Avé 2,Aképé,Akepe,Nsp,{Latrines a eau},POINT (1.0582783333333334 6.241651666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-80f,Maritime,Avé,Avé 2,Badja,Bethel,Nsp,{Latrines seches},POINT (0.9870566666666666 6.382118333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-80e,Maritime,Avé,Avé 2,Badja,Kouve,Nsp,{Latrines seches},POINT (0.9889133753390169 6.381095265024495)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-80d,Maritime,Avé,Avé 2,Badja,Badjadodji,Payant,{Latrines seches},POINT (0.9887077822633971 6.388972678432575)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-80c,Maritime,Avé,Avé 2,Badja,Badja Tokoin,Gratuit,{Latrines seches},POINT (0.98692 6.374440000000001)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-80b,Maritime,Avé,Avé 2,Badja,Tokladji,Gratuit,{Latrines seches},POINT (0.983575 6.376881666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-80a,Maritime,Avé,Avé 2,Badja,Mogadji,Gratuit,{Latrines seches},POINT (0.9821133333333333 6.378563333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-809,Maritime,Avé,Avé 2,Badja,Logove,Gratuit,{Latrines seches},POINT (0.9894116666666667 6.377296666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-808,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Neglekpoe,Gratuit,{Latrines seches},POINT (1.6409233333333333 6.4898516666666675)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-807,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Togbodji,Gratuit,{Latrines seches},POINT (1.6592383333333336 6.575833333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-806,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi,Payant,{Latrines seches},POINT (1.6392210112219707 6.494149161365793)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-805,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Masseda,Nsp,{Latrines seches},POINT (1.6741099999999998 6.446276666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-804,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Attitogon,Payant,{Latrines seches},POINT (1.6631724036503102 6.416566650478487)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-803,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Attitedome,Payant,{Latrines seches},POINT (1.6766532422104727 6.4463720936561675)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-802,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Masseda,Payant,{Latrines seches},POINT (1.6761133333333333 6.445291666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-801,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Goudjokope,Payant,{Latrines seches},POINT (1.6537063728257844 6.446204835751344)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-800,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Mawoussi,Gratuit,{Latrines a eau},POINT (1.639115 6.3950966666666655)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7ff,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Logowome,Payant,{Latrines a eau},POINT (1.662445 6.4749783333333335)
