FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,terrain,activite_statut,activite_categorie,geometry
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3805,Plateaux,Haho,Haho 2,Djemegni,Depotoire de kpove-avedji,Depotoire De Kpove-avedji,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.2963283333333333 6.969226666666667, 1.2961650000000002 6.969018333333334, 1.2958316666666665 6.969231666666667, 1.295952524464625 6.969544089459167, 1.296189405096234 6.9694324560580645, 1.2963283333333333 6.969226666666667)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3806,Plateaux,Haho,Haho 2,Djemegni,Depotoire d'avedji-tchikpekpe,Depotoire D'avedji-tchikpekpe,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.2913266666666667 6.972831666666667, 1.29135 6.972656666666667, 1.2914103463811333 6.9726559713829035, 1.2913667821270443 6.972827505633378, 1.2913266666666667 6.972831666666667)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3807,Plateaux,Haho,Haho 2,Djemegni,Depotoire avedj-atchogble-cope,Depotoire Avedj-atchogble-cope,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Dimanche,Samedi}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.293485 6.969788333333334, 1.293565 6.969666666666666, 1.2930916666666665 6.96916, 1.2930026568808166 6.969358017050204, 1.293485 6.969788333333334)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3808,Plateaux,Haho,Haho 2,Djemegni,Depotoire du marche de kpove,Depotoire Du Marche De Kpove,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.2943983333333333 6.964945, 1.2944111296991285 6.964607997531841, 1.2941621190339843 6.964645459313322, 1.2941533044971651 6.964793102805045, 1.2942128026206954 6.964918709954719, 1.2943207806967314 6.9649936335176825, 1.2943983333333333 6.964945)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3809,Plateaux,Haho,Haho 2,Djemegni,Depotoire1 de djemegni,Depotoire1 De Djemegni,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.2573666666666665 6.937704999999999, 1.25711 6.937858333333333, 1.2570979078938995 6.937795201166045, 1.2573469185590433 6.937687223090009, 1.2573666666666665 6.937704999999999)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_380a,Plateaux,Haho,Haho 2,Djemegni,Depotoire2 de djemegni,Depotoire2 De Djemegni,Nsp,"{Lundi,Mardi,Mercredi,Vendredi,Jeudi,Dimanche,Samedi}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.2573762675891982 6.937762095813656, 1.2570857907519768 6.937942230348551, 1.2570958355969417 6.937976382821432, 1.2573951719769005 6.937833746022928, 1.2573762675891982 6.937762095813656)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_380b,Plateaux,Haho,Haho 2,Djemegni,Depotoire d'ekli,Depotoire D'ekli,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.25453 6.93839, 1.2544816666666667 6.938305000000001, 1.2542356516898645 6.938410922441605, 1.2542517234418087 6.938443065945493, 1.25453 6.93839)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_380c,Plateaux,Haho,Haho 2,Djemegni,Depotoire pres route kponou,Depotoire Pres Route Kponou,Nsp,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3391866666666667 6.996416666666666, 1.3391899999999999 6.996433333333332, 1.3392016666666666 6.996461666666666, 1.3392116666666667 6.99649, 1.3392166666666665 6.996506666666666, 1.3392283333333335 6.996526666666667, 1.3392300000000001 6.996548333333334, 1.339235 6.996570000000001, 1.339255 6.996626666666667, 1.339262999592626 6.996642241858451, 1.33928708206029 6.996654991400155, 1.3392969983705045 6.996660657863135, 1.3392729159028405 6.996584160612908, 1.3391866666666667 6.996416666666666)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_380d,Plateaux,Haho,Haho 2,Djemegni,Depotoire kowoume,Depotoire Kowoume,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",autre,Nsp,Nsp,"MULTIPOLYGON (((1.3373933333333334 6.9938183333333335, 1.3374166666666667 6.993803333333333, 1.3374266666666665 6.9938166666666675, 1.3374433333333333 6.9938400000000005, 1.3375316666666668 6.993911666666666, 1.3375366666666668 6.993926666666666, 1.337555 6.993976666666667, 1.3375666666666668 6.994018333333334, 1.3375183333333331 6.9940533333333335, 1.3373933333333334 6.9938183333333335)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_380e,Plateaux,Haho,Haho 2,Djemegni,Grand depotoire de kowoume,Grand Depotoire De Kowoume,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",autre,Nsp,Nsp,"MULTIPOLYGON (((1.3367554980649745 6.994694574988096, 1.33658 6.994690000000001, 1.3363683333333334 6.994876666666666, 1.3364483333333332 6.995100000000001, 1.3364566666666666 6.995123333333334, 1.3364366666666667 6.995158333333334, 1.3364516666666666 6.995184999999999, 1.3364916666666666 6.995206666666666, 1.3365116666666668 6.995238333333333, 1.33653 6.99525, 1.33656 6.995251666666666, 1.3365816666666668 6.995245, 1.3366383333333334 6.995241666666668, 1.3366666666666667 6.995251666666666, 1.3367 6.995238333333333, 1.3367483333333332 6.995205, 1.3367433333333334 6.995190000000001, 1.3367416666666667 6.995149999999999, 1.3367383333333334 6.995093333333333, 1.3367216666666666 6.995058333333333, 1.3367083333333334 6.995063333333333, 1.3366900000000002 6.99504, 1.3367554980649745 6.994694574988096)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_380f,Plateaux,Haho,Haho 2,Djemegni,Depotoire kolihoue,Depotoire Kolihoue,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Prive - individuel,Nsp,Nsp,"MULTIPOLYGON (((1.3348116666666667 6.993946666666666, 1.33484 6.993938333333333, 1.3348566666666666 6.993933333333333, 1.3348933333333333 6.993949999999999, 1.3349483333333334 6.993931666666667, 1.3349666666666666 6.993916666666666, 1.3349733333333333 6.993888333333333, 1.334985 6.99388, 1.3350116666666667 6.993873333333333, 1.3351156163859492 6.993892544155362, 1.335126552450274 6.993960894557393, 1.3349791350025868 6.994092706422892, 1.3348116666666667 6.993946666666666)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3810,Plateaux,Haho,Haho 2,Djemegni,Depotoire de hougahoe 2,Depotoire De Hougahoe 2,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Lundi,Mardi,Mercredi}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3345262907463995 6.985464570127553, 1.3345333333333333 6.985421666666667, 1.334565 6.985379999999999, 1.3345983333333333 6.985338333333334, 1.3346333333333333 6.9853250000000005, 1.3346683333333333 6.985286666666667, 1.3346783333333332 6.985271666666667, 1.3346850000000001 6.985253333333333, 1.3346983333333333 6.985236666666666, 1.3347133333333334 6.98521, 1.3347233333333333 6.985181666666667, 1.3347316666666666 6.985146666666666, 1.3347516666666666 6.985108333333333, 1.3347833333333334 6.985085, 1.33483 6.985051666666667, 1.334845 6.985036666666668, 1.3348683333333333 6.985006666666667, 1.3348983333333333 6.984961666666667, 1.3349233333333332 6.984974999999999, 1.3349433333333334 6.984995, 1.3349683333333333 6.985048333333333, 1.3347334802215172 6.985289423239371, 1.3345877093245275 6.985431954783095, 1.3345262907463995 6.985464570127553)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3811,Plateaux,Haho,Haho 2,Djemegni,Depotoire entree de wagahoue,Depotoire Entree De Wagahoue,Nsp,"{Lundi,Mardi,Jeudi,Mercredi,Vendredi,Samedi,Dimanche}",Prive - individuel,Nsp,Nsp,"MULTIPOLYGON (((1.3334650000000001 6.985343333333333, 1.3335022817292517 6.985396015334886, 1.3334183319388724 6.985436718263556, 1.3333801729432453 6.985378207803595, 1.3334650000000001 6.985343333333333)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3812,Plateaux,Haho,Haho 2,Djemegni,Depotoire de kpakpahoue akime,Depotoire De Kpakpahoue Akime,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3324148271669345 6.985662270787989, 1.332493561750938 6.985682516823875, 1.3325430520608827 6.985561040608555, 1.3325115582272815 6.98555654148947, 1.3324193262860207 6.9856285273948435, 1.3324148271669345 6.985662270787989)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3813,Plateaux,Haho,Haho 2,Djemegni,Depotoire de kpakpahoue akime 2,Depotoire De Kpakpahoue Akime 2,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Prive - individuel,Nsp,Nsp,"MULTIPOLYGON (((1.3319733333333335 6.984468333333332, 1.3319883333333333 6.9844550000000005, 1.3320033333333332 6.984438333333332, 1.3320166666666668 6.984426666666667, 1.332035 6.984416666666668, 1.332065 6.984406666666667, 1.332085 6.984403333333334, 1.3321033333333332 6.9844100000000005, 1.3321383333333332 6.98442, 1.3321616666666667 6.984423333333332, 1.3321749999999999 6.9844316666666675, 1.3321883333333333 6.984453333333333, 1.332195 6.984476666666666, 1.3322088626735396 6.984535543791525, 1.3321031597878006 6.984616986998569, 1.33191 6.984756666666668, 1.331875 6.984751666666667, 1.33185 6.984738333333333, 1.3318283333333334 6.9847166666666665, 1.3318116666666666 6.9846883333333345, 1.3317983333333334 6.984663333333333, 1.3318 6.984628333333334, 1.3319733333333335 6.984468333333332)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3814,Plateaux,Haho,Haho 2,Djemegni,Depotoire kpakpahoue akime,Depotoire Kpakpahoue Akime,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3315766666666666 6.984158333333333, 1.3316130561847077 6.984118571244274, 1.3316269188582472 6.984151495093931, 1.3316043920137457 6.9841792204410105, 1.331640781531787 6.984229472632592, 1.3315766666666666 6.984300518834481, 1.3315610711589347 6.9842866561609425, 1.3315766666666666 6.984158333333333)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3815,Plateaux,Haho,Haho 2,Djemegni,Depotoire kponou bas,Depotoire Kponou Bas,Nsp,"{Lundi,Mardi,Jeudi,Vendredi,Mercredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.33243 6.993568333333333, 1.33243 6.993568333333333, 1.3324116666666665 6.9935866666666655, 1.3323983333333334 6.993591666666667, 1.3323716666666667 6.9936050000000005, 1.332335 6.993601666666666, 1.3323283333333333 6.9935849999999995, 1.3322849074379548 6.993522309120255, 1.33236 6.993413333333333, 1.3324333333333334 6.993453333333334, 1.33243 6.993568333333333)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3816,Plateaux,Haho,Haho 2,Djemegni,Depotoire kponou pres fontaine islamique,Depotoire Kponou Pres Fontaine Islamique,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3327983333333333 6.99371, 1.3328498809131053 6.9936671206118275, 1.3328727909485598 6.9936828712612025, 1.3328957009840139 6.993731555086543, 1.3328785184574234 6.99375303324478, 1.3327940377016858 6.993773079525803, 1.3327682639118 6.993745873858701, 1.3327983333333333 6.99371)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3817,Plateaux,Haho,Haho 2,Djemegni,Depotoire d'aglihoue,Depotoire D'aglihoue,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.33312 6.994551666666666, 1.333184669264166 6.994617844736353, 1.3331903967730299 6.9946507779123195, 1.3332233299489953 6.994688006719933, 1.3331866666666667 6.99479, 1.33315 6.9948, 1.3331517592287114 6.994824292985405, 1.3331302810704733 6.994811406090463, 1.3329331713497543 6.994451813016505, 1.3330066666666667 6.994423333333333, 1.33312 6.994551666666666)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3818,Plateaux,Haho,Haho 2,Djemegni,Depotoire de bessehoe,Depotoire De Bessehoe,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3075032379619502 6.9672021508300475, 1.3075063617892457 6.967166226816148, 1.3075594668532702 6.967114683665772, 1.3075766479033957 6.967097502615646, 1.3075938289535214 6.967124055147658, 1.307518857098428 6.9672021508300475, 1.3075032379619502 6.9672021508300475)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3819,Plateaux,Haho,Haho 2,Djemegni,Depotoire d'adjahoe,Depotoire D'adjahoe,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3240833333333333 6.990496666666667, 1.3240833333333333 6.990496666666667, 1.3240883333333333 6.990468333333332, 1.3240883333333333 6.990441666666667, 1.3241016666666667 6.990433333333334, 1.3241166666666668 6.990444999999999, 1.324135 6.990458333333334, 1.3241583333333333 6.990466666666666, 1.3241716666666665 6.990463333333334, 1.3242083333333334 6.990473333333334, 1.3242216666666666 6.990480000000001, 1.3242383333333334 6.990466666666666, 1.3242533333333335 6.990436666666667, 1.3242466666666668 6.990405, 1.32424 6.990391666666667, 1.3242366666666667 6.990376666666666, 1.3242566666666666 6.9903716666666655, 1.3243116666666666 6.990391666666667, 1.3243183333333335 6.9903900000000005, 1.3243433333333332 6.990353333333333, 1.3243516666666668 6.9903, 1.32434 6.990295, 1.324325 6.990271666666667, 1.3242491071232196 6.990273740997472, 1.3242166666666666 6.99034, 1.3241966666666667 6.99036, 1.3241866666666666 6.990381666666667, 1.3241800000000001 6.990383333333334, 1.3241100000000001 6.990350000000001, 1.3240766666666666 6.990353333333333, 1.3240750000000001 6.990354999999999, 1.324025 6.990378333333332, 1.3240066666666666 6.990388333333334, 1.32403 6.9904399999999995, 1.3240833333333333 6.990496666666667)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_381a,Plateaux,Haho,Haho 2,Djemegni,Depotoire de mangotigome 2,Depotoire De Mangotigome 2,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.319485 6.985496666666667, 1.3194633333333332 6.985506666666667, 1.31944 6.985518333333332, 1.3194133333333333 6.9855366666666665, 1.3193983333333332 6.9855566666666675, 1.3193866666666667 6.985573333333334, 1.31938 6.985591666666666, 1.3193716666666666 6.985610000000001, 1.3193833333333334 6.985651666666667, 1.3193899999999998 6.985670000000001, 1.3193933333333334 6.985685000000001, 1.3193866666666667 6.985691666666666, 1.3193683333333333 6.985706666666665, 1.3193516666666667 6.985730000000001, 1.3193383333333335 6.985743333333333, 1.3192866666666667 6.9857483333333334, 1.3192766666666667 6.985763333333334, 1.3192466666666665 6.9857966666666655, 1.3192433333333333 6.985804999999999, 1.3192300000000001 6.985816666666667, 1.3192783333333333 6.985851666666667, 1.3192916666666665 6.985845, 1.3193216666666667 6.98581, 1.3193549999999998 6.985778333333333, 1.31937 6.98578, 1.3194133333333333 6.985785, 1.3194599999999999 6.985763333333334, 1.3195283333333334 6.985706666666665, 1.3194941116105572 6.9856466029342705, 1.319485 6.985496666666667)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_381b,Plateaux,Haho,Haho 2,Djemegni,Depotoire de mangotigome 3,Depotoire De Mangotigome 3,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3195800000000002 6.984965, 1.319605 6.984960000000001, 1.3196216666666667 6.984941666666667, 1.3196566666666667 6.984930000000001, 1.3197083333333335 6.9849049999999995, 1.3197416666666666 6.984885000000001, 1.3197616666666665 6.984856666666667, 1.3197833333333333 6.98481, 1.3197933333333334 6.984798333333333, 1.3198183333333333 6.984785, 1.3198800000000002 6.984726666666667, 1.31992 6.9847399999999995, 1.3196322912287302 6.984985609714575, 1.3195800000000002 6.984965)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_381c,Plateaux,Haho,Haho 2,Djemegni,Depotoire de wodeme,Depotoire De Wodeme,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.301010517205145 6.9473873404287625, 1.301110603493569 6.947751543311638, 1.3011438649198825 6.947852936731628, 1.3010270975833882 6.94785015655695, 1.3009631535657842 6.9474525915779335, 1.301010517205145 6.9473873404287625)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_381d,Plateaux,Haho,Haho 2,Djemegni,Depotoire de kpove lomnava,Depotoire De Kpove Lomnava,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.3065665424491795 6.973596510507753, 1.306495 6.9734549999999995, 1.3064683333333331 6.973446666666666, 1.30639 6.97339, 1.3063666666666667 6.9733616666666665, 1.3063466666666665 6.973318333333333, 1.3063500000000001 6.973268333333334, 1.3063633333333333 6.973225, 1.3063916666666666 6.973188333333333, 1.3064383333333334 6.973158333333333, 1.3064616666666666 6.973121666666667, 1.3064749999999998 6.973111666666667, 1.3065116666666665 6.973136666666666, 1.3065283333333333 6.97312, 1.3065233333333335 6.973084999999999, 1.3065166666666668 6.973050000000001, 1.3065116666666665 6.973003333333333, 1.3065183333333332 6.972966666666667, 1.3065366666666667 6.972949999999999, 1.3065283333333333 6.972918333333332, 1.3065333333333333 6.972894999999999, 1.3065633333333333 6.972881666666666, 1.30658 6.972894999999999, 1.30658 6.972894999999999, 1.306665 6.972863333333334, 1.3066933333333335 6.972874999999999, 1.306586562670631 6.972950288713018, 1.306584898892743 6.973124985391246, 1.306584898892743 6.973124985391246, 1.3065283304445536 6.9732414498434006, 1.3065932177821815 6.9735459211968855, 1.3065665424491795 6.973596510507753)))"
