FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,forage_nom,forage_type,batiment_nom,geometry
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3672,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Nanlongue,PEA Nanlongue,Avec pompe et tank,Nsp,POINT (0.1668949999999995 10.996334999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3673,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Nanlogue 2,PEA NANLOGUE 2,Avec pompe et tank,Nsp,POINT (0.1668549999999996 10.996265000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3674,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Nadjondore,PEA NADJONDORE,Avec pompe et tank,Nsp,POINT (0.1851016666666673 11.012238333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3675,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Nalongue,PEA NALONGUE,Avec pompe et tank,Nsp,POINT (0.1781583333333343 11.007669999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3676,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Madjonndore,PEA MADJONNDORE,Avec pompe et tank,MOSQUÉES,POINT (0.1861883333333342 11.006821666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3677,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Nadjoundi Centre,PEA NADJOUNDI CENTRE,Avec pompe et tank,Hôpital,POINT (0.1891670000000003 11.008056)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3678,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Tammondjoare Ouest,PEA TAMMONDJOARE OUEST,Avec pompe et tank,Nsp,POINT (0.152575 10.996106666666664)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3679,Savanes,Tône,Tône 3,Nioukpourma,Wagante,PEA Wagante,Avec tank sans pompe,CEG wagante,POINT (0.1006749999999998 10.876876666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_367a,Savanes,Tône,Tône 3,Nioukpourma,Wagante,PEA Wagante,Avec tank sans pompe,CEG wagante,POINT (0.1006749999999998 10.876876666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_367b,Savanes,Tône,Tône 2,Naki-Ouest,Sankpeldiguend,PEA SANKPELDIGUEND,Avec pompe et tank,Nsp,POINT (0.0768333333333342 10.914763333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_367c,Savanes,Tône,Tône 2,Naki-Ouest,Tindjote,PEA TINDJOTE,Avec pompe et tank,Nsp,POINT (0.1018816666666657 10.909323333333337)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_367d,Savanes,Tône,Tône 2,Naki-Ouest,Tindjote,PEA TINDJOTE,Avec pompe et tank,Nsp,POINT (0.1077466666666662 10.904081666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_367e,Savanes,Tône,Tône 2,Naki-Ouest,Tindjote,PEA TINDJOTE,Avec pompe et tank,Orphelinats,POINT (0.1068566666666664 10.905485)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_367f,Savanes,Tône,Tône 2,Naki-Ouest,Djadout-gbane,PEA DJADOUT-GBANE,Avec pompe et tank,Nsp,POINT (0.0781033333333329 10.882365)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3680,Plateaux,Ogou,Ogou 1,Gnagna,Agbofon,PEA AGBOFON,Avec tank sans pompe,Mosquée d'Agbofon,POINT (1.1338766666666666 7.508156666666669)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3681,Centrale,Blitta,Blitta 3,Pagala-Village,Pagala Village,PEA PAGALA VILLAGE,Avec tank sans pompe,Nsp,POINT (0.8811900000000006 8.212506666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3682,Plateaux,Wawa,Wawa 1,Badou,Badou,PEA BADOU,Avec pompe et tank,MARCHÉ DE BADOU,POINT (0.6061366666666675 7.572789999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3683,Maritime,Bas-Mono,Bas-Mono 2,Hompou,Apouvi,PEA APOUVI,Avec pompe et tank,Nsp,POINT (1.6820416666666669 6.410201666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3684,Maritime,Bas-Mono,Bas-Mono 2,Hompou,Todome Tonatokope,PEA TODOME Tonatokope,Avec tank sans pompe,Nsp,POINT (1.699793333333333 6.403041666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3685,Savanes,Tône,Tône 3,Warkambou,Bongdoure,PEA BONGDOURE,Avec pompe et tank,Nsp,POINT (0.0081716666666675 10.80326833333333)
