FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,forage_nom,forage_type,batiment_nom,geometry
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c2,Plateaux,Amou,Amou 1,Imlè-Adiva,Koutoukpa,PEA KOUTOUKPA,Sans pompe ni tank,Nsp,POINT (0.9882049999999997 7.51499)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c3,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Elavagnon,PEA ELAVAGNON,Avec pompe sans tank,Nsp,POINT (1.2821083333333332 7.956763333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c4,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Elavagnon,PEA ELAVAGNON,Avec pompe sans tank,Nsp,POINT (1.3015133333333335 7.966258333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c5,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Elavagnon,PEA ELAVAGNON,Avec pompe sans tank,Nsp,POINT (1.2947483333333332 7.964056666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c6,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Elavagnon,PEA Elavagnon,Sans pompe ni tank,Nsp,POINT (1.299591666666667 7.966011666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c7,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Cite,PEA CITE,Avec pompe et tank,Nsp,POINT (1.287101666666667 7.980871666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c8,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Elavagnon,PEA Elavagnon,Sans pompe ni tank,Nsp,POINT (1.274961666666666 7.964946666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c9,Maritime,Zio,Zio 1,Djagblé,Djagble,PEA DJAGBLE,Sans pompe ni tank,Tde DJAGBLE,POINT (1.283241666666667 6.256628333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36ca,Maritime,Golfe,Golfe 6,Baguida,Baguida,PEA BAGUIDA,Avec pompe et tank,Nsp,POINT (1.3081350000000007 6.157308333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36cb,Maritime,Golfe,Golfe 6,Baguida,Avepozo,PEA AVEPOZO,Avec pompe et tank,Nsp,POINT (1.3256400000000002 6.170176666666666)
